class_id,material,material_type,hex_color,final_rgb
class-1,BM_ASPHALT,ROAD_SURFACE,#2D2D30,"45,45,48"
class-2,BM_CONCRETE,ROAD_SURFACE,#B4B4B4,"180,180,180"
class-3,BM_EARTHEN,SOIL_EARTH,#8B5A2B,"139,90,43"
class-4,BM_FOLIAGE,VEGETATION,#006400,"0,100,0"
class-5,BM_LAND_DRY_GRASS,VEGETATION,#BDB76B,"189,183,107"
class-6,BM_LAND_GRASS,VEGETATION,#7CFC00,"124,252,0"
class-7,BM_METAL,METAL,#A9ABB0,"169,171,176"
class-8,BM_METAL_STEEL,METAL,#708090,"112,128,144"
class-9,BM_PAINT_ASPHALT,ROAD_SURFACE,#3C3F41,"60,63,65"
class-10,BM_ROCK,ROAD_SURFACE,#827B73,"130,123,115"
class-11,BM_SAND,SOIL_EARTH,#EDC9AF,"237,201,175"
class-12,BM_SHINGLE,ROOFING,#696969,"105,105,105"
class-13,BM_SOIL,SOIL_EARTH,#654321,"101,67,33"
class-14,BM_VEGETATION,VEGETATION,#228B22,"34,139,34"
class-15,BM_WATER,WATER,#1C6BA0,"28,107,160"
